,state_name,avg_rating
0,Maui,4.576923076923077
1,Michigan,4.5
2,Nevada,4.4
3,Colorado,4.382231404958677
4,Washington,4.382154882154882
5,Maine,4.36
6,Arizona,4.283536585365853
7,Montana,4.260416666666667
8,Utah,4.25886524822695
9,North Dakota,4.2368421052631575
10,Tennessee,4.216049382716049
11,Ohio,4.21
12,South Dakota,4.2
13,Hawaii,4.172413793103448
14,Oregon,4.157894736842105
15,California,4.127962085308057
16,Wyoming,4.098275862068966
17,Virginia,4.088957055214724
18,North Carolina,4.045871559633028
19,Alaska,4.035714285714286
20,New Mexico,4.0
21,Missouri,4.0
22,Georgia,4.0
23,Texas,3.989010989010989
24,Arkansas,3.96875
25,Indiana,3.966666666666667
26,South Carolina,3.9375
27,Minnesota,3.9285714285714284
28,Kentucky,3.840909090909091
29,Florida,3.5517241379310347
